area_type,availability,location,size_bhk,total_sqft,bath,balcony,price,price_per_sqft,availability_grouped
Super built-up  Area,Ready To Move,Doddathoguru,2.0,970.0,2.0,0.0,33.0,3402.061855670103,Ready To Move
Super built-up  Area,20-Sep,Whitefield,2.0,1459.0,2.0,1.0,94.82,6498.971898560658,Upcoming
Plot  Area,Ready To Move,KR Puram,2.0,800.0,1.0,1.0,130.0,16250.0,Ready To Move
Built-up  Area,Ready To Move,Himagiri Meadows,2.0,869.0,2.0,1.0,36.0,4142.692750287687,Ready To Move
Super built-up  Area,Ready To Move,Adarsh Nagar,2.0,1270.0,2.0,1.0,50.0,3937.0078740157483,Ready To Move
Super built-up  Area,18-Mar,Bhoganhalli,3.0,1670.0,3.0,1.0,99.0,5928.143712574851,Upcoming
Built-up  Area,Ready To Move,Whitefield,3.0,2010.0,3.0,2.0,91.0,4527.363184079602,Ready To Move
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,1185.0,2.0,2.0,75.0,6329.113924050633,Ready To Move
Super built-up  Area,Ready To Move,Yelahanka,3.0,1600.0,2.0,3.0,75.0,4687.5,Ready To Move
Super built-up  Area,Ready To Move,Begur Road,2.0,1200.0,2.0,2.0,44.0,3666.6666666666665,Ready To Move
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2.0,1500.0,2.0,2.0,185.0,12333.333333333334,Ready To Move
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2.0,840.0,2.0,2.0,45.0,5357.142857142857,Ready To Move
Plot  Area,Ready To Move,Tharabanahalli,3.0,4395.0,3.0,2.0,240.0,5460.750853242321,Ready To Move
Super built-up  Area,Ready To Move,Ganga Nagar,2.0,845.0,2.0,1.0,55.0,6508.87573964497,Ready To Move
Plot  Area,Ready To Move,Whitefield,4.0,5700.0,5.0,3.0,650.0,11403.508771929824,Ready To Move
Built-up  Area,Ready To Move,Varthur,2.0,1160.0,2.0,2.0,44.0,3793.103448275862,Ready To Move
Built-up  Area,Ready To Move,Bommanahalli,8.0,3000.0,8.0,0.0,140.0,4666.666666666667,Ready To Move
Super built-up  Area,Ready To Move,Doddathoguru,2.0,1100.0,2.0,1.0,62.0,5636.363636363636,Ready To Move
Super built-up  Area,18-Apr,Gunjur,2.0,1140.0,2.0,3.0,43.0,3771.9298245614036,Upcoming
Super built-up  Area,Ready To Move,Marathahalli,2.0,1220.0,2.0,1.0,57.0,4672.131147540984,Ready To Move
Super built-up  Area,Ready To Move,Kanakpura Road,2.0,1005.0,2.0,1.0,36.68,3649.7512437810947,Ready To Move
Super built-up  Area,20-Aug,Begur Road,2.0,1358.0,2.0,1.0,80.58,5933.726067746687,Upcoming
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,1569.0,3.0,1.0,101.0,6437.221159974506,Ready To Move
Super built-up  Area,18-Apr,Haralur Road,2.0,1240.0,2.0,1.0,70.0,5645.1612903225805,Upcoming
Super built-up  Area,Ready To Move,Hennur Road,3.0,2089.0,3.0,2.0,140.0,6701.771182383915,Ready To Move
Super built-up  Area,Ready To Move,Kothannur,2.0,1206.0,2.0,1.0,48.23,3999.1708126036483,Ready To Move
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,1150.0,2.0,3.0,40.0,3478.2608695652175,Ready To Move
Built-up  Area,Ready To Move,Cholanayakanahalli,3.0,2511.0,3.0,3.0,205.0,8164.078056551175,Ready To Move
Built-up  Area,Ready To Move,ISRO Layout,6.0,4400.0,6.0,3.0,250.0,5681.818181818182,Ready To Move
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3.0,1660.0,2.0,2.0,105.0,6325.301204819277,Ready To Move
Super built-up  Area,19-Mar,Yelahanka,2.0,1326.0,2.0,2.0,78.0,5882.35294117647,Upcoming
Super built-up  Area,Ready To Move,Garudachar Palya,3.0,1325.0,2.0,2.0,60.8,4588.679245283019,Ready To Move
Super built-up  Area,Ready To Move,EPIP Zone,3.0,1499.0,5.0,2.0,102.0,6804.536357571715,Ready To Move
Built-up  Area,Ready To Move,Hegde Nagar,6.0,3000.0,7.0,2.0,210.0,7000.0,Ready To Move
Super built-up  Area,Ready To Move,Kanakpura Road,3.0,1665.0,3.0,2.0,88.0,5285.285285285286,Ready To Move
Super built-up  Area,17-Sep,Dasanapura,2.0,708.0,2.0,2.0,37.0,5225.988700564972,Upcoming
Super built-up  Area,Ready To Move,Kasavanhalli,2.0,1060.0,2.0,2.0,58.06,5477.358490566037,Ready To Move
Built-up  Area,Ready To Move,Sanjay nagar,2.0,1000.0,2.0,2.0,70.0,7000.0,Ready To Move
Super built-up  Area,18-Dec,Electronic City,2.0,1000.0,2.0,1.0,28.88,2888.0,Upcoming
Super built-up  Area,Ready To Move, Mysore Highway,3.0,1450.0,2.0,2.0,70.0,4827.586206896552,Ready To Move
Plot  Area,Ready To Move,ISRO Layout,4.0,1200.0,4.0,2.0,155.0,12916.666666666666,Ready To Move
Super built-up  Area,17-Aug,Thanisandra,2.0,1296.0,2.0,3.0,80.0,6172.83950617284,Upcoming
Super built-up  Area,Ready To Move,Domlur,3.0,1540.0,3.0,2.0,90.0,5844.1558441558445,Ready To Move
Plot  Area,Ready To Move,Kengeri,4.0,2894.0,4.0,1.0,245.0,8465.791292328957,Ready To Move
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3.0,1330.0,2.0,1.0,48.0,3609.0225563909776,Ready To Move
Built-up  Area,Ready To Move,Devasthanagalu,2.0,1200.0,2.0,1.0,65.0,5416.666666666667,Ready To Move
Built-up  Area,Ready To Move,T Dasarahalli,3.0,1200.0,3.0,1.0,90.0,7500.0,Ready To Move
Super built-up  Area,Ready To Move,Yeshwanthpur,3.0,2502.0,3.0,3.0,138.0,5515.587529976019,Ready To Move
Built-up  Area,Ready To Move,Chandapura,2.0,650.0,1.0,1.0,17.0,2615.3846153846152,Ready To Move
Plot  Area,Ready To Move,Kothanur,3.0,2400.0,2.0,1.0,150.0,6250.0,Ready To Move
Super built-up  Area,Ready To Move,Green View Layout,2.0,1007.0,2.0,2.0,43.0,4270.109235352532,Ready To Move
Super built-up  Area,Ready To Move,Shantiniketan Layout,2.0,1200.0,2.0,2.0,50.0,4166.666666666667,Ready To Move
Super built-up  Area,Ready To Move,Peenya,2.0,966.0,2.0,2.0,49.9,5165.631469979296,Ready To Move
Built-up  Area,Ready To Move,Nagarbhavi,3.0,1630.0,2.0,1.0,98.0,6012.269938650306,Ready To Move
Built-up  Area,Ready To Move,Rajaji Nagar,3.0,1640.0,3.0,2.0,229.0,13963.414634146342,Ready To Move
Built-up  Area,Ready To Move,Jalahalli West,2.0,782.0,2.0,2.0,55.68,7120.204603580562,Ready To Move
Super built-up  Area,19-Apr,Devanahalli,2.0,1260.0,2.0,2.0,66.78,5300.0,Upcoming
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3.0,1800.0,3.0,3.0,120.0,6666.666666666667,Ready To Move
Super built-up  Area,Ready To Move,Byatarayanapura,3.0,1413.0,2.0,2.0,75.0,5307.855626326964,Ready To Move
Super built-up  Area,Ready To Move,Whitefield,2.0,1116.0,2.0,1.0,51.91,4651.433691756272,Ready To Move
Super built-up  Area,Ready To Move,Electronic City,3.0,1530.0,2.0,1.0,45.9,3000.0,Ready To Move
Built-up  Area,Ready To Move,Ramamurthy Nagar,4.0,3700.0,4.0,1.0,225.0,6081.081081081081,Ready To Move
Built-up  Area,Ready To Move,Sarjapur  Road,3.0,2497.0,3.0,2.0,140.0,5606.728073688426,Ready To Move
Super built-up  Area,Ready To Move,Kengeri,3.0,1540.0,2.0,3.0,64.0,4155.8441558441555,Ready To Move
Super built-up  Area,18-Dec,Thanisandra,3.0,1436.0,3.0,1.0,74.75,5205.431754874652,Upcoming
Super built-up  Area,18-Jun,Malleshwaram,2.0,1100.0,2.0,2.0,75.0,6818.181818181818,Upcoming
Super built-up  Area,Ready To Move,Thanisandra,3.0,1427.0,3.0,2.0,120.0,8409.250175192712,Ready To Move
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,2061.0,3.0,1.0,200.0,9704.02717127608,Ready To Move
Built-up  Area,Ready To Move,Shampura,4.0,2650.0,4.0,2.0,150.0,5660.377358490566,Ready To Move
Super built-up  Area,22-Dec,Devanahalli,3.0,1282.0,2.0,2.0,68.52,5344.773790951638,Upcoming
Built-up  Area,Ready To Move,Kadugodi,2.0,1050.0,2.0,1.0,34.0,3238.095238095238,Ready To Move
Built-up  Area,Ready To Move,LB Shastri Nagar,3.0,1600.0,3.0,2.0,65.0,4062.5,Ready To Move
Super built-up  Area,22-Jan,Vajarahalli,2.0,945.0,2.0,1.0,54.0,5714.285714285715,Upcoming
Super built-up  Area,Ready To Move,Hormavu,2.0,1500.0,2.0,1.0,78.0,5200.0,Ready To Move
Built-up  Area,Ready To Move,Peenya,3.0,1870.0,3.0,3.0,110.0,5882.35294117647,Ready To Move
Plot  Area,Ready To Move,Sarjapur,3.0,1600.0,3.0,1.0,75.0,4687.5,Ready To Move
Super built-up  Area,Ready To Move,Electronic City,2.0,880.0,1.0,1.0,16.5,1875.0,Ready To Move
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4.0,1200.0,4.0,0.0,210.0,17500.0,Ready To Move
Super built-up  Area,Ready To Move,Kudlu Gate,3.0,1535.0,3.0,2.0,83.0,5407.166123778502,Ready To Move
Built-up  Area,Ready To Move,Kanakpura Road,2.0,950.0,2.0,1.0,57.0,6000.0,Ready To Move
Super built-up  Area,18-Aug,Devanahalli,2.0,1360.0,2.0,1.0,65.0,4779.411764705882,Upcoming
Super built-up  Area,18-May,Bommasandra Industrial Area,3.0,1280.0,3.0,1.0,50.4,3937.5,Upcoming
Super built-up  Area,19-Jan,Chandra Layout,3.0,1260.0,2.0,2.0,85.05,6750.0,Upcoming
Built-up  Area,Ready To Move,Hennur Road,8.0,5000.0,8.0,2.0,250.0,5000.0,Ready To Move
Super built-up  Area,19-Dec,Yelahanka,5.0,3050.0,5.0,1.0,213.0,6983.606557377049,Upcoming
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,1563.05,3.0,1.0,105.0,6717.635392341896,Ready To Move
Super built-up  Area,Ready To Move,ISRO Layout,2.0,1000.0,2.0,1.0,60.0,6000.0,Ready To Move
Super built-up  Area,17-Jul,Anandapura,2.0,1167.0,2.0,1.0,43.76,3749.7857754927163,Upcoming
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7.0,4000.0,7.0,2.0,225.0,5625.0,Ready To Move
Super built-up  Area,Ready To Move,Kothanur,3.0,1828.0,3.0,2.0,110.0,6017.505470459519,Ready To Move
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2.0,890.0,2.0,1.0,35.0,3932.5842696629215,Ready To Move
Super built-up  Area,Ready To Move,Basavanapura,3.0,1612.0,3.0,3.0,46.74,2899.5037220843674,Ready To Move
Super built-up  Area,19-Apr,Mysore Road,3.0,1710.0,4.0,2.0,91.31,5339.766081871345,Upcoming
Super built-up  Area,Ready To Move,Kannamangala,2.0,957.0,2.0,1.0,58.0,6060.606060606061,Ready To Move
Super built-up  Area,18-May, Devarachikkanahalli,3.0,1250.0,2.0,3.0,44.0,3520.0,Upcoming
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3.0,2795.0,4.0,2.0,235.0,8407.871198568873,Ready To Move
Super built-up  Area,Ready To Move,Hulimavu,2.0,1125.0,2.0,2.0,50.0,4444.444444444444,Ready To Move
Super built-up  Area,18-Jul,Electronic City Phase II,2.0,1020.0,2.0,1.0,30.6,3000.0,Upcoming
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,1200.0,2.0,2.0,50.0,4166.666666666667,Ready To Move
Super built-up  Area,Ready To Move,Thanisandra,3.0,1735.0,3.0,3.0,135.0,7780.979827089337,Ready To Move
Super built-up  Area,Ready To Move,Thanisandra,3.0,2050.0,3.0,1.0,145.0,7073.170731707317,Ready To Move
Plot  Area,Ready To Move,Mahalakshmi Layout,4.0,3750.0,4.0,0.0,760.0,20266.666666666668,Ready To Move
Built-up  Area,Ready To Move,Yarandahalli,3.0,1350.0,2.0,3.0,48.0,3555.5555555555557,Ready To Move
Super built-up  Area,18-May,Hosa Road,2.0,1063.0,2.0,1.0,32.0,3010.348071495767,Upcoming
Super built-up  Area,Ready To Move,Keshava Nagar,3.0,1904.0,3.0,1.0,150.0,7878.151260504202,Ready To Move
Built-up  Area,Ready To Move,Whitefield,4.0,4200.0,4.0,2.0,420.0,10000.0,Ready To Move
Super built-up  Area,Ready To Move,RMV Extension,3.0,2000.0,3.0,1.0,175.0,8750.0,Ready To Move
Super built-up  Area,Ready To Move,Tejaswini Nagar,3.0,1425.0,2.0,2.0,75.0,5263.1578947368425,Ready To Move
Super built-up  Area,Ready To Move,Electronic City,3.0,1500.0,2.0,1.0,64.5,4300.0,Ready To Move
Built-up  Area,Ready To Move,Electronic City,2.0,1060.0,2.0,1.0,60.0,5660.377358490566,Ready To Move
Built-up  Area,Ready To Move,Jai Bheema Nagar,3.0,1470.0,2.0,2.0,70.0,4761.9047619047615,Ready To Move
Super built-up  Area,Ready To Move,Attibele,1.0,450.0,1.0,1.0,11.0,2444.4444444444443,Ready To Move
Super built-up  Area,18-Apr,Electronic City,2.0,1152.0,2.0,1.0,64.5,5598.958333333333,Upcoming
Super built-up  Area,Ready To Move,Electronic City,3.0,1350.0,2.0,1.0,56.0,4148.148148148148,Ready To Move
Super built-up  Area,Ready To Move,CV Raman Nagar,3.0,1550.0,3.0,3.0,65.0,4193.548387096775,Ready To Move
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3.0,1500.0,3.0,2.0,100.0,6666.666666666667,Ready To Move
Plot  Area,Ready To Move,Nagavara,1.0,400.0,1.0,0.0,14.0,3500.0,Ready To Move
Super built-up  Area,Ready To Move,Malleshwaram,1.0,705.0,1.0,2.0,67.0,9503.54609929078,Ready To Move
Built-up  Area,Ready To Move,Electronic City,2.0,770.0,1.0,1.0,36.0,4675.324675324675,Ready To Move
Super built-up  Area,Ready To Move,Hulimavu,2.0,1242.0,2.0,3.0,51.0,4106.280193236715,Ready To Move
Super built-up  Area,Ready To Move,Hebbal Kempapura,3.0,1700.0,3.0,2.0,155.0,9117.64705882353,Ready To Move
Super built-up  Area,Ready To Move,Thanisandra,3.0,2144.0,3.0,2.0,145.0,6763.059701492537,Ready To Move
Super built-up  Area,21-Jun,Vijayanagar,3.0,1704.0,3.0,2.0,110.0,6455.399061032864,Upcoming
Super built-up  Area,Ready To Move,Electronic City,2.0,1070.0,2.0,1.0,52.0,4859.813084112149,Ready To Move
Plot  Area,Ready To Move,8th block Koramangala,3.0,1846.0,3.0,2.0,300.0,16251.354279523293,Ready To Move
Super built-up  Area,Ready To Move,Jakkuru Layout,2.0,1340.0,2.0,2.0,55.7,4156.7164179104475,Ready To Move
Built-up  Area,Ready To Move,Electronic City,2.0,1025.0,2.0,1.0,46.0,4487.804878048781,Ready To Move
Super built-up  Area,Ready To Move,Marathahalli,2.0,1200.0,2.0,2.0,52.0,4333.333333333333,Ready To Move
Built-up  Area,18-Dec,Kanakpura Road,4.0,2250.0,4.0,1.0,110.0,4888.888888888889,Upcoming
Super built-up  Area,Ready To Move,Pattandur Agrahara,3.0,1550.0,2.0,3.0,80.0,5161.290322580645,Ready To Move
Plot  Area,Ready To Move,Bellandur,4.0,1200.0,5.0,2.0,325.0,27083.333333333332,Ready To Move
Super built-up  Area,Ready To Move,Marathahalli,2.0,1200.0,2.0,2.0,60.0,5000.0,Ready To Move
Super built-up  Area,Ready To Move,Yelahanka,2.0,1327.0,2.0,2.0,98.0,7385.079125847777,Ready To Move
Super built-up  Area,Ready To Move,Kothanur,2.0,1186.0,2.0,2.0,58.0,4890.387858347386,Ready To Move
Built-up  Area,Ready To Move,MS Pallya,3.0,1783.0,3.0,1.0,115.0,6449.8037016264725,Ready To Move
Super built-up  Area,Ready To Move,HSR Layout,3.0,1400.0,3.0,2.0,56.0,4000.0,Ready To Move
Super built-up  Area,Ready To Move,Nagasandra,2.0,980.0,2.0,1.0,48.0,4897.959183673469,Ready To Move
Super built-up  Area,Ready To Move,EPIP Zone,2.0,1285.0,2.0,2.0,82.0,6381.322957198444,Ready To Move
Super built-up  Area,Ready To Move,Langford Town,3.0,912.0,2.0,1.0,70.0,7675.438596491228,Ready To Move
Built-up  Area,Ready To Move,Whitefield,2.0,1225.0,2.0,2.0,47.6,3885.714285714286,Ready To Move
Super built-up  Area,Ready To Move,Whitefield,2.0,1075.0,2.0,1.0,53.0,4930.232558139535,Ready To Move
Built-up  Area,Ready To Move,Kadugodi,3.0,1260.0,2.0,2.0,54.0,4285.714285714285,Ready To Move
Super built-up  Area,Ready To Move,Yelahanka,3.0,1282.0,2.0,2.0,48.7,3798.751950078003,Ready To Move
Super built-up  Area,Ready To Move,Kogilu,3.0,1909.0,3.0,2.0,88.0,4609.743321110529,Ready To Move
Super built-up  Area,Ready To Move,Panathur,2.0,1359.0,2.0,1.0,87.0,6401.766004415011,Ready To Move
Built-up  Area,Ready To Move,Nagondanahalli,2.0,1207.0,2.0,2.0,43.5,3603.976801988401,Ready To Move
Plot  Area,Ready To Move,Padmanabhanagar,4.0,1736.0,6.0,0.0,190.0,10944.700460829494,Ready To Move
Super built-up  Area,20-May,1st Block Jayanagar,4.0,2850.0,4.0,1.0,428.0,15017.543859649122,Upcoming
Super built-up  Area,Ready To Move,Kammasandra,3.0,1595.0,3.0,2.0,65.0,4075.2351097178685,Ready To Move
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3.0,1798.0,3.0,2.0,89.0,4949.944382647386,Upcoming
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,1475.0,3.0,2.0,78.29,5307.796610169492,Ready To Move
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3.0,1580.0,3.0,3.0,100.0,6329.113924050633,Ready To Move
Super built-up  Area,Ready To Move,Dasarahalli,2.0,1295.0,2.0,1.0,65.0,5019.305019305019,Ready To Move
Built-up  Area,Ready To Move,Magadi Road,6.0,3600.0,6.0,0.0,141.0,3916.6666666666665,Ready To Move
Super built-up  Area,Ready To Move,Electronic City,1.0,589.0,1.0,1.0,27.0,4584.040747028863,Ready To Move
Super built-up  Area,Ready To Move,Ngef Layout,3.0,1415.0,3.0,3.0,78.0,5512.367491166077,Ready To Move
Super built-up  Area,18-Dec,Sarjapur  Road,3.0,1787.0,3.0,2.0,98.29,5500.279798545048,Upcoming
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1787.0,3.0,2.0,125.0,6994.963626189144,Ready To Move
Super built-up  Area,Ready To Move,Koramangala,3.0,1475.0,2.0,3.0,90.0,6101.6949152542375,Ready To Move
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4.0,2000.0,4.0,1.0,75.5,3775.0,Ready To Move
Super built-up  Area,19-Mar,Sarjapur  Road,2.0,984.0,2.0,1.0,44.28,4500.0,Upcoming
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3.0,2405.0,4.0,2.0,260.0,10810.81081081081,Ready To Move
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1080.0,2.0,2.0,72.0,6666.666666666667,Ready To Move
Plot  Area,Ready To Move,Shantiniketan Layout,2.0,1500.0,2.0,1.0,115.0,7666.666666666667,Ready To Move
Super built-up  Area,Ready To Move,Hebbal,3.0,1900.0,3.0,2.0,119.0,6263.1578947368425,Ready To Move
Super built-up  Area,19-Aug,Dommasandra,2.0,805.0,2.0,1.0,22.14,2750.3105590062114,Upcoming
Super built-up  Area,Ready To Move,Budigere,2.0,1153.0,2.0,2.0,56.4,4891.587163920208,Ready To Move
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2.0,1148.0,2.0,2.0,60.0,5226.480836236934,Ready To Move
Super built-up  Area,Ready To Move,Mylasandra,2.0,1110.0,2.0,2.0,55.0,4954.954954954955,Ready To Move
Built-up  Area,Ready To Move,Electronic City,2.0,1100.0,2.0,2.0,42.0,3818.181818181818,Ready To Move
Super built-up  Area,Ready To Move,Kalyan nagar,2.0,1290.0,2.0,2.0,110.0,8527.131782945737,Ready To Move
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3.0,1500.0,2.0,1.0,65.0,4333.333333333333,Ready To Move
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2.0,1080.0,2.0,2.0,39.0,3611.1111111111113,Upcoming
Super built-up  Area,21-Jun,Vijayanagar,3.0,1933.0,3.0,1.0,129.0,6673.564407656492,Upcoming
Built-up  Area,Ready To Move,Ramamurthy Nagar,5.0,3500.0,5.0,2.0,150.0,4285.714285714285,Ready To Move
Built-up  Area,Ready To Move,Kullappa Colony,2.0,1060.0,2.0,2.0,60.0,5660.377358490566,Ready To Move
Super built-up  Area,18-Aug,Chandapura,1.0,645.0,1.0,1.0,16.45,2550.3875968992247,Upcoming
Plot  Area,Ready To Move,Mukkutam Nagar,8.0,2600.0,8.0,2.0,180.0,6923.076923076923,Ready To Move
Super built-up  Area,18-Sep,Chandapura,1.0,645.0,1.0,1.0,16.45,2550.3875968992247,Upcoming
Super built-up  Area,Ready To Move,Ashwath Nagar,3.0,1644.0,3.0,3.0,84.0,5109.489051094891,Ready To Move
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2.0,1285.0,2.0,3.0,72.5,5642.023346303502,Ready To Move
Plot  Area,Ready To Move,Electronic City,3.0,1200.0,3.0,1.0,90.0,7500.0,Ready To Move
Super built-up  Area,Ready To Move,Electronic City,2.0,910.0,2.0,1.0,40.0,4395.604395604396,Ready To Move
Super built-up  Area,Ready To Move,Kothanur,3.0,1577.0,3.0,1.0,70.0,4438.807863031072,Ready To Move
Plot  Area,17-May,Meenakunte,3.0,4050.0,3.0,2.0,280.0,6913.580246913581,Upcoming
Super built-up  Area,Ready To Move,OMBR Layout,3.0,2420.0,3.0,2.0,185.0,7644.628099173554,Ready To Move
Super built-up  Area,Ready To Move,Chandapura,2.0,800.0,1.0,1.0,20.0,2500.0,Ready To Move
Built-up  Area,Ready To Move,Anand Nagar,2.0,1060.0,2.0,2.0,55.0,5188.679245283019,Ready To Move
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1270.0,2.0,2.0,93.0,7322.834645669292,Ready To Move
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2.0,900.0,2.0,2.0,22.5,2500.0,Upcoming
Built-up  Area,Ready To Move,Kundalahalli Colony,2.0,1280.0,2.0,1.0,69.0,5390.625,Ready To Move
Plot  Area,Ready To Move,Horamavu Agara,4.0,1200.0,2.0,0.0,95.0,7916.666666666667,Ready To Move
